code,name,identification,text
tel,Telugu,Telugu.,"ప్రతి వ్యక్తికిని అభిప్రాయస్వాతంత్ర్యమునకును, భావ ప్రకటన స్వాతంత్ర్యమునకును, హక్కు గలదు. పరుల జోక్యము లేక, స్వాభిప్రాయమును గలిగియుండుటకు స్వాతంత్ర్యమును, రాజ్యసీమానిరపేక్షముగా, నెట్టి మధ్యస్థ మార్గముననైన సమాచార, సంసూచనలను అన్వేషించుటకు, పొందుటకు, ఉపపాదించుటకు, స్వాతంత్ర్యమును ఈ హక్కులో నిమిదియున్నవి."
tgk,Tajiki,Tajik,"Ҳар як инсон ба озодии ақида ва баёни озодонаи он ҳақ дорад; ин ҳуқуқ; бемамониат нигоҳ доштани ақидаи худ, озодона, бо ҳар восита ва сарфи назар аз сарҳадоти давлатӣ, ҷустуҷӯ, дастрасу интишор намудани маълумоту ғояҳоро дар бар мегирад."
tgl,Tagalog,Filipino,"Ang bawat tao'y may karapatan sa kalayaan ng pagkukuro at pagpapahayag; kasama ng karapatang ito ang kalayaan at kuru-kuro nang walang panghihimasok at humanap, tumanggap at magbigay ng impormasyon at kaisipan sa pamamagitan ng alin mang paraan ng pagkakalat at walang pagsasaalang-alang ng mga hanggahan."
tha,Thai,Thai,ทุกคนมีสิทธิในอิสรภาพแห่งความเห็นและการแสดงออก สิทธินี้รวมถึงอิสรภาพในการที่จะถือเกา[เอา]ความเห็นโดยปราศจากการแรกสอดและที่จะแสวงหา รับและแจกจ่ายข่าวสารและความคิดเห็นไม่ว่าโดยวิธีใด ๆ และโดยไม่คำนึงถึงเขตแดน
tur,Turkish,Turkish,"Her ferdin fikir ve fikirlerini açıklamak hürriyetine hakkı vardır. Bu hak fikirlerinden ötürü rahatsız edilmemek, memleket sınırları mevzubahis olmaksızın malümat ve fikirleri her vasıta ile aramak, elde etmek veya yaymak hakkını içerir."
tyv,Tuva,This text appears to be in the Kyrgyz language.,"Кижи бүрүзү үзелдерниң база оларны хостуг илередириниң хосталгазынга эргелиг; бо эргеге бодунуң үзелдеринге моондак чокка бүзүреп сагыыр база күрүне кызыгаарларындан хамаан чокка база кандыг-даа арга-биле информация болгаш идеяларны дилээр, алыр база тарадыр хосталга хамааржып турар."
uig_latn,Uyghur (Latin),Uyghur language.,"hemme adem öz teshebbusini bildrush we pikir bayan qilish erkinlikidin behrimen bolushqa hoquqluq: bu hoquq mudaxilige uchrimay öz teshebbusini saqlap qélish erkinlikini we uchur hem pikirlerni herqandaq waste arqiliq we dölet ayrimisigha qarimay izdesh, qobul qilish we tarqitish erkinlikini öz ichige alidu."
ukr,Ukrainian,Ukrainian,"Кожна людина має право на свободу переконань і на вільне їх виявлення; це право включає свободу безперешкодно дотримуватися своїх переконань та свободу шукати, одержувати і поширювати інформацію та ідеї будь‐якими засобами і незалежно від державних кордонів."
urd,Urdu,Urdu,ہر شخص کو اپنی رائے رکھنے اور اظہارِ رائے کی آزادی کا حق حاصل ہے۔ اس حق میں یہ امر بھی شامل ہے کہ وہ آزادی کے ساتھ اپنی رائے قائم کرے اور جس ذریعے سے چاہے بغیر ملکی سرحدوں کا خیال کئے علم اور خیالات کی تلاش کرے۔ انہیں حاصل کرے اور ان کی تبلیغ کرے۔
uzn_cyrl,"Uzbek, Northern (Cyrillic)",Uzbek,"Ҳар бир инсон маслак эркинлигига ва буларни эркин ифодалаш ҳуқуқига эгадир; ушбу ҳуқуқ ҳеч бир халалсиз ўз маслакларига риоя этиш эркинлигини ва ахборот ва ғояларни ҳар қандай воситалар билан ҳамда давлат чегараларидан мустақил тарзда қидириш, олиш ва тарқатиш эркини қамраб олади."
vec,Venetian,"This text appears to be written in Venetian, a regional language spoken in Veneto,","Onjun el ga el derito a ła łibartà de opinion e de espresion, ciapà rento anca el derito de no èsar mołestà par ła só opinion, e cueło de sercar, otènjar e devulgar informasion e idèe co onji mezo e sensa revardo par i confini."
vie,Vietnamese,Vietnamese,"Mọi người đều có quyền tự do ngôn luận và bầy tỏ quan điểm; kể cả tự do bảo lưu ý kiến không phụ thuộc vào bất cứ sự can thiệp nào, cũng như tự do tìm kiếm, thu nhận, tryền bá thông tin và ý kiến bằng bất cứ phương tiện thông tin đại chúng nào và không giới hạn về biên giới."
wol,Wolof,"This is Wolof, a language spoken in Senegal, The Gambia, and Mauritania","Nit ku ne am na sañ-sañ wax mbaa bind lu ko soob. Ci waxam yooyule kenn menuko ce bundu xatal. Te it am na sañ-sañ di gëstu, di jot, di wasare ci anam gu yaa ay xabaaraki xalaat ak ay jumtukaay yu mi Men ti jefandikóo."
xho,Xhosa,Xhosa,"Wonke umntu unelungelo lokucinga nokuthetha ngokukhululekileyo, eli lungelo liquka inkululeko yokuveza uluvo lwakhe ngaphandle kokuphazamiseka nokuzama ufumana ukuze udlulise ulwazi neengcinga nangaziphi na iintlobo zosasazo nokuba kukweyiphi na imida."
yor,Yoruba,Yoruba.,"Ẹnì kọ̀ọ̀kan ló ní ẹ̀tọ́ sí òmì nira láti ní ìmọ̀ràn tí ó wù ú, kí ó sì sọ irú ìmọ̀ràn bẹ́ẹ̀ jáde; ẹ̀tọ́yìí gbani láàyè láti ní ìmọ̀ràn yòówù láìsí àtakò láti ọ̀dọ̀ ẹnìkẹ́ni láti wádìí ọ̀rọ̀, láti gba ìmọ̀ràn lọ́dọ̀ ẹlòmíràn tàbí láti gbani níyànjú lọ́nàkọ́nà láìka ààlà orílẹ̀‐èdè kankan kún."
ztu,"Zapotec, Güilá","This seems to be a transcription of the original text using a different writing system or orthography,","Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p opinyoony x:te:e'n-ni', chiru' ynni:i:i'rih nih rca:a'zrih. Wbyee'rnn quei'ty na:adi' pahr ynni:i:i' xi opinyoony ga:a'p bu:unny. Chiru' ra'ta' bu:unny ra:a'p deree'ch pahr gu:a'll bu:unny nih na'cdihzy gye:e'ts, ycwa:a:a' bu:unny nih rca:a'z bu:unny."
zul,Zulu,This is Zulu language.,"Wonke umuntu unelungelo lokuveza umbono ngenkululeko, lelilungelo lihlanganisa inkululeko yokubeka imibono ngaphandle kokuthikanyezwa, futhi nokuthungatha, ukwamukela nokukhipha ulwazi nemiqondo nganoma iyiphi indlela yokusakaza ngale kwezihibe."
